round,agent_i,agent_j,nll,n_prompts,n_tokens
0,clone-0,clone-0,2.100844,64,5199
0,clone-0,clone-1,2.474251,64,5137
0,clone-0,clone-2,2.491755,64,5500
0,clone-0,clone-3,1.985059,64,4870
0,clone-1,clone-0,2.161591,64,5199
0,clone-1,clone-1,2.238140,64,5137
0,clone-1,clone-2,2.341981,64,5500
0,clone-1,clone-3,1.984709,64,4870
0,clone-2,clone-0,2.158049,64,5199
0,clone-2,clone-1,2.319139,64,5137
0,clone-2,clone-2,2.270349,64,5500
0,clone-2,clone-3,1.978820,64,4870
0,clone-3,clone-0,2.169903,64,5199
0,clone-3,clone-1,2.501610,64,5137
0,clone-3,clone-2,2.513833,64,5500
0,clone-3,clone-3,1.921928,64,4870
9,clone-0,clone-0,1.630568,64,4915
9,clone-0,clone-1,1.979348,64,4985
9,clone-0,clone-2,2.037213,64,4873
9,clone-0,clone-3,1.891525,64,4992
9,clone-1,clone-0,1.977572,64,4915
9,clone-1,clone-1,1.574652,64,4985
9,clone-1,clone-2,1.863181,64,4873
9,clone-1,clone-3,1.948299,64,4992
9,clone-2,clone-0,1.974713,64,4915
9,clone-2,clone-1,1.830849,64,4985
9,clone-2,clone-2,1.650175,64,4873
9,clone-2,clone-3,1.956911,64,4992
9,clone-3,clone-0,1.901070,64,4915
9,clone-3,clone-1,1.983973,64,4985
9,clone-3,clone-2,2.028947,64,4873
9,clone-3,clone-3,1.596252,64,4992
19,clone-0,clone-0,1.469428,64,5459
19,clone-0,clone-1,1.942629,64,4853
19,clone-0,clone-2,1.849941,64,5158
19,clone-0,clone-3,1.779821,64,5331
19,clone-1,clone-0,1.926723,64,5459
19,clone-1,clone-1,1.509225,64,4853
19,clone-1,clone-2,1.667056,64,5158
19,clone-1,clone-3,1.900783,64,5331
19,clone-2,clone-0,1.944566,64,5459
19,clone-2,clone-1,1.822629,64,4853
19,clone-2,clone-2,1.369642,64,5158
19,clone-2,clone-3,1.912808,64,5331
19,clone-3,clone-0,1.774651,64,5459
19,clone-3,clone-1,1.939336,64,4853
19,clone-3,clone-2,1.840252,64,5158
19,clone-3,clone-3,1.521810,64,5331
29,clone-0,clone-0,1.565438,64,4999
29,clone-0,clone-1,1.958776,64,4726
29,clone-0,clone-2,1.911153,64,5134
29,clone-0,clone-3,1.691123,64,6197
29,clone-1,clone-0,2.085148,64,4999
29,clone-1,clone-1,1.412957,64,4726
29,clone-1,clone-2,1.676657,64,5134
29,clone-1,clone-3,1.874862,64,6197
29,clone-2,clone-0,2.085976,64,4999
29,clone-2,clone-1,1.731182,64,4726
29,clone-2,clone-2,1.384305,64,5134
29,clone-2,clone-3,1.884734,64,6197
29,clone-3,clone-0,1.914312,64,4999
29,clone-3,clone-1,1.950675,64,4726
29,clone-3,clone-2,1.891155,64,5134
29,clone-3,clone-3,1.390263,64,6197
39,clone-0,clone-0,1.337149,64,4633
39,clone-0,clone-1,1.913842,64,4611
39,clone-0,clone-2,1.957274,64,4770
39,clone-0,clone-3,1.665104,64,5510
39,clone-1,clone-0,1.894453,64,4633
39,clone-1,clone-1,1.269551,64,4611
39,clone-1,clone-2,1.718400,64,4770
39,clone-1,clone-3,1.841625,64,5510
39,clone-2,clone-0,1.915749,64,4633
39,clone-2,clone-1,1.635153,64,4611
39,clone-2,clone-2,1.338273,64,4770
39,clone-2,clone-3,1.870621,64,5510
39,clone-3,clone-0,1.685477,64,4633
39,clone-3,clone-1,1.887085,64,4611
39,clone-3,clone-2,1.917267,64,4770
39,clone-3,clone-3,1.335913,64,5510
