round,agent_i,agent_j,nll,n_prompts,n_tokens
0,clone-0,clone-0,2.543224,61,4200
0,clone-0,clone-1,2.345327,58,4440
0,clone-0,clone-2,2.513568,64,4486
0,clone-0,clone-3,2.538836,64,4143
0,clone-1,clone-0,2.585192,61,4200
0,clone-1,clone-1,2.304726,58,4440
0,clone-1,clone-2,2.515946,64,4486
0,clone-1,clone-3,2.540090,64,4143
0,clone-2,clone-0,2.446626,61,4200
0,clone-2,clone-1,2.224411,58,4440
0,clone-2,clone-2,2.332291,64,4486
0,clone-2,clone-3,2.396776,64,4143
0,clone-3,clone-0,2.444606,61,4200
0,clone-3,clone-1,2.222785,58,4440
0,clone-3,clone-2,2.375372,64,4486
0,clone-3,clone-3,2.341243,64,4143
1,clone-0,clone-0,2.107501,64,3997
1,clone-0,clone-1,2.066342,64,5188
1,clone-0,clone-2,2.105062,60,3618
1,clone-0,clone-3,2.102375,58,3573
1,clone-1,clone-0,2.181574,64,3997
1,clone-1,clone-1,1.984127,64,5188
1,clone-1,clone-2,2.099297,60,3618
1,clone-1,clone-3,2.106174,58,3573
1,clone-2,clone-0,2.175947,64,3997
1,clone-2,clone-1,2.064767,64,5188
1,clone-2,clone-2,2.050685,60,3618
1,clone-2,clone-3,2.107651,58,3573
1,clone-3,clone-0,2.159899,64,3997
1,clone-3,clone-1,2.056593,64,5188
1,clone-3,clone-2,2.096645,60,3618
1,clone-3,clone-3,2.028301,58,3573
2,clone-0,clone-0,1.928839,64,3591
2,clone-0,clone-1,2.020578,64,5563
2,clone-0,clone-2,2.010684,50,4648
2,clone-0,clone-3,2.043081,56,3098
2,clone-1,clone-0,2.104236,64,3591
2,clone-1,clone-1,1.865664,64,5563
2,clone-1,clone-2,1.960136,50,4648
2,clone-1,clone-3,2.107108,56,3098
2,clone-2,clone-0,2.079736,64,3591
2,clone-2,clone-1,1.988235,64,5563
2,clone-2,clone-2,1.920029,50,4648
2,clone-2,clone-3,2.090916,56,3098
2,clone-3,clone-0,2.047941,64,3591
2,clone-3,clone-1,2.000684,64,5563
2,clone-3,clone-2,2.001344,50,4648
2,clone-3,clone-3,1.957306,56,3098
3,clone-0,clone-0,2.005674,64,3351
3,clone-0,clone-1,1.865766,57,5367
3,clone-0,clone-2,2.136069,31,2510
3,clone-0,clone-3,2.070893,64,3661
3,clone-1,clone-0,2.278546,64,3351
3,clone-1,clone-1,1.704270,57,5367
3,clone-1,clone-2,2.134243,31,2510
3,clone-1,clone-3,2.228583,64,3661
